Car_ID,Damage_Location,Repairable_or_Replaceable,Repair_Type,Dent_Type,Price
CAR31,Trunk,Repairable,Dent,Deep,4376
CAR31,Front_Bumper,Replaceable,,,4374
CAR31,Hood,Repairable,Dent,Shallow,1994
CAR31,Front_Bumper,Replaceable,,,3550
CAR32,Front_Bumper,Repairable,Dent,Shallow,1435
CAR32,Rear_Door,Repairable,Dent,Extreme,3437
CAR33,Roof,Replaceable,,,3221
CAR34,Rear_Door,Repairable,Dent,Deep,3551
CAR34,Hood,Repairable,Scratch,,1088
CAR34,Hood,Repairable,Dent,Shallow,1435
CAR34,Rear_Door,Replaceable,,,3537
CAR34,Hood,Replaceable,,,4948
CAR34,Front_Bumper,Repairable,Dent,Extreme,3433
CAR34,Trunk,Replaceable,,,3632
CAR34,Front_Bumper,Replaceable,,,3104
CAR34,Front_Bumper,Replaceable,,,3081
CAR34,Trunk,Repairable,Dent,Shallow,1682
CAR35,Trunk,Replaceable,,,4613
CAR35,Roof,Replaceable,,,4906
CAR36,Rear_Door,Replaceable,,,4301
CAR36,Roof,Replaceable,,,4075
CAR36,Front_Bumper,Replaceable,,,3701
CAR37,Trunk,Replaceable,,,3269
CAR37,Hood,Replaceable,,,4631
CAR37,Hood,Repairable,Scratch,,1201
CAR37,Roof,Repairable,Dent,Shallow,1641
CAR37,Rear_Door,Repairable,Scratch,,1045
CAR37,Rear_Door,Replaceable,,,3927
CAR38,Hood,Repairable,Scratch,,1054
CAR39,Trunk,Repairable,Dent,Deep,3687
CAR39,Front_Bumper,Replaceable,,,4888
CAR39,Rear_Door,Repairable,Scratch,,997
CAR39,Trunk,Replaceable,,,3803
CAR40,Trunk,Replaceable,,,3622
CAR40,Hood,Replaceable,,,3729
CAR40,Front_Bumper,Replaceable,,,3190
CAR41,Hood,Repairable,Scratch,,872
CAR42,Hood,Repairable,Scratch,,1090
CAR43,Trunk,Replaceable,,,3089
CAR44,Roof,Replaceable,,,4132
CAR45,Rear_Door,Replaceable,,,4133
CAR45,Trunk,Repairable,Dent,Shallow,1776
CAR45,Rear_Door,Repairable,Scratch,,1342
CAR45,Roof,Repairable,Dent,Deep,3787
CAR46,Roof,Replaceable,,,4222
CAR46,Rear_Door,Replaceable,,,3028
CAR47,Trunk,Replaceable,,,4762
CAR47,Rear_Door,Replaceable,,,4476
CAR48,Trunk,Repairable,Dent,Deep,3518
CAR48,Hood,Replaceable,,,4436
CAR49,Roof,Replaceable,,,3161
CAR49,Rear_Door,Replaceable,,,3749
CAR49,Roof,Replaceable,,,3201
CAR49,Trunk,Repairable,Dent,Extreme,3164
CAR49,Front_Bumper,Replaceable,,,4618
CAR49,Rear_Door,Replaceable,,,3655
CAR49,Hood,Repairable,Scratch,,1084
CAR49,Rear_Door,Replaceable,,,4300
CAR50,Roof,Repairable,Dent,Extreme,3353
CAR50,Trunk,Repairable,Scratch,,1157
CAR50,Rear_Door,Repairable,Scratch,,1298
CAR50,Roof,Repairable,Scratch,,1320
CAR50,Rear_Door,Replaceable,,,3587
CAR50,Roof,Repairable,Dent,Shallow,1268
CAR50,Trunk,Replaceable,,,4143
CAR50,Hood,Replaceable,,,4629
CAR50,Trunk,Repairable,Scratch,,1107
CAR50,Rear_Door,Repairable,Scratch,,798
CAR50,Rear_Door,Replaceable,,,3920
CAR50,Hood,Replaceable,,,3346
CAR50,Rear_Door,Replaceable,,,3812
CAR51,Front_Bumper,Replaceable,,,4871
CAR52,Rear_Door,Replaceable,,,3889
CAR52,Front_Bumper,Replaceable,,,4109
CAR53,Rear_Door,Repairable,Scratch,,1195
CAR53,Rear_Door,Replaceable,,,3767
CAR53,Front_Bumper,Repairable,Scratch,,1151
CAR53,Hood,Repairable,Scratch,,924
CAR53,Rear_Door,Replaceable,,,4846
CAR53,Trunk,Repairable,Dent,Shallow,1348
CAR53,Trunk,Replaceable,,,4962
CAR54,Rear_Door,Replaceable,,,3973
CAR54,Front_Bumper,Repairable,Dent,Shallow,1449
CAR54,Front_Bumper,Replaceable,,,4875
CAR55,Trunk,Repairable,Scratch,,1094
CAR56,Hood,Repairable,Scratch,,1124
CAR56,Hood,Replaceable,,,4065
CAR56,Rear_Door,Replaceable,,,3389
CAR56,Roof,Repairable,Dent,Deep,4456
CAR57,Trunk,Replaceable,,,4196
CAR58,Hood,Repairable,Scratch,,1149
CAR58,Front_Bumper,Replaceable,,,4428
CAR58,Front_Bumper,Replaceable,,,4737
CAR58,Rear_Door,Replaceable,,,4779
CAR59,Hood,Repairable,Dent,Shallow,1411
CAR59,Front_Bumper,Replaceable,,,4015
CAR60,Rear_Door,Replaceable,,,3794
CAR61,Rear_Door,Replaceable,,,4347
CAR61,Front_Bumper,Replaceable,,,3067
CAR61,Front_Bumper,Replaceable,,,3628
CAR62,Rear_Door,Repairable,Dent,Shallow,1497
CAR62,Front_Bumper,Replaceable,,,4744
CAR62,Trunk,Repairable,Scratch,,1490
CAR63,Hood,Repairable,Dent,Extreme,3382
CAR64,Hood,Replaceable,,,4768
CAR65,Front_Bumper,Repairable,Dent,Deep,4253
CAR65,Trunk,Repairable,Scratch,,1195
CAR66,Trunk,Repairable,Dent,Shallow,1920
CAR67,Hood,Repairable,Dent,Extreme,3498
CAR68,Hood,Repairable,Scratch,,648
CAR68,Rear_Door,Replaceable,,,3169
CAR68,Hood,Replaceable,,,3688
CAR68,Hood,Repairable,Dent,Shallow,1493
CAR69,Front_Bumper,Replaceable,,,4269
CAR69,Front_Bumper,Replaceable,,,4387
CAR69,Roof,Replaceable,,,4344
CAR69,Hood,Replaceable,,,3203
CAR69,Trunk,Replaceable,,,4136
CAR69,Front_Bumper,Replaceable,,,4134
CAR69,Trunk,Replaceable,,,3533
CAR69,Hood,Repairable,Scratch,,661
CAR70,Rear_Door,Repairable,Scratch,,1294
CAR71,Trunk,Repairable,Scratch,,764
CAR71,Front_Bumper,Repairable,Dent,Extreme,3256
CAR72,Front_Bumper,Repairable,Dent,Extreme,3477
CAR73,Rear_Door,Repairable,Scratch,,1468
CAR73,Roof,Repairable,Dent,Shallow,1741
CAR73,Rear_Door,Replaceable,,,3157
CAR73,Hood,Replaceable,,,4933
CAR73,Trunk,Replaceable,,,3845
CAR74,Trunk,Replaceable,,,3930
CAR74,Roof,Repairable,Dent,Deep,4348
CAR75,Trunk,Replaceable,,,4248
CAR76,Hood,Replaceable,,,4522
CAR76,Trunk,Repairable,Dent,Extreme,2689
CAR76,Hood,Replaceable,,,4499
CAR77,Front_Bumper,Repairable,Dent,Shallow,1089
CAR77,Rear_Door,Repairable,Scratch,,510
CAR77,Hood,Replaceable,,,4992
CAR77,Roof,Replaceable,,,4644
CAR77,Rear_Door,Replaceable,,,4087
CAR77,Trunk,Repairable,Dent,Shallow,1098
CAR78,Hood,Replaceable,,,3621
CAR78,Hood,Repairable,Scratch,,697
CAR78,Roof,Replaceable,,,3380
CAR78,Trunk,Replaceable,,,3187
CAR79,Hood,Replaceable,,,3881
CAR79,Hood,Repairable,Dent,Shallow,1484
CAR79,Roof,Repairable,Scratch,,1305
CAR79,Rear_Door,Repairable,Dent,Deep,3915
CAR79,Rear_Door,Repairable,Dent,Shallow,1736
CAR79,Hood,Repairable,Dent,Extreme,2664
CAR80,Trunk,Replaceable,,,4775
CAR81,Trunk,Replaceable,,,4173
CAR81,Roof,Replaceable,,,4654
CAR82,Hood,Repairable,Scratch,,702
CAR83,Trunk,Repairable,Scratch,,723
CAR83,Hood,Replaceable,,,4379
CAR83,Rear_Door,Repairable,Dent,Deep,4215
CAR84,Trunk,Repairable,Dent,Deep,4237
CAR85,Front_Bumper,Repairable,Dent,Shallow,1980
CAR85,Rear_Door,Replaceable,,,3477
CAR85,Hood,Repairable,Dent,Shallow,1973
CAR85,Rear_Door,Replaceable,,,4472
CAR86,Roof,Repairable,Scratch,,792
CAR87,Front_Bumper,Replaceable,,,4404
CAR87,Rear_Door,Repairable,Scratch,,849
CAR87,Hood,Repairable,Scratch,,738
CAR87,Rear_Door,Replaceable,,,4573
CAR87,Front_Bumper,Replaceable,,,3775
CAR88,Front_Bumper,Replaceable,,,4659
CAR88,Rear_Door,Replaceable,,,3132
CAR89,Rear_Door,Repairable,Scratch,,981
CAR90,Hood,Repairable,Dent,Deep,4026
CAR91,Roof,Repairable,Dent,Deep,3548
CAR92,Trunk,Repairable,Scratch,,1418
CAR92,Front_Bumper,Repairable,Scratch,,984
CAR92,Roof,Repairable,Dent,Shallow,1954
CAR92,Hood,Repairable,Dent,Shallow,1942
CAR92,Rear_Door,Replaceable,,,3690
CAR92,Front_Bumper,Replaceable,,,3516
CAR92,Hood,Replaceable,,,3675
CAR93,Roof,Replaceable,,,4184
CAR93,Hood,Replaceable,,,4895
CAR93,Roof,Replaceable,,,4450
CAR93,Rear_Door,Replaceable,,,4281
CAR93,Roof,Repairable,Scratch,,809
CAR93,Trunk,Repairable,Dent,Extreme,3071
CAR93,Hood,Repairable,Scratch,,913
CAR93,Trunk,Replaceable,,,3423
CAR94,Trunk,Replaceable,,,3637
CAR95,Hood,Repairable,Scratch,,1342
CAR95,Roof,Replaceable,,,4319
CAR96,Roof,Replaceable,,,4917
CAR96,Front_Bumper,Replaceable,,,4582
CAR96,Roof,Repairable,Dent,Shallow,1957
CAR96,Rear_Door,Repairable,Scratch,,765
CAR96,Front_Bumper,Repairable,Scratch,,1250
CAR96,Roof,Replaceable,,,4255
CAR96,Roof,Replaceable,,,4760
CAR97,Front_Bumper,Replaceable,,,4590
CAR98,Hood,Replaceable,,,4405
CAR98,Trunk,Repairable,Dent,Shallow,1910
CAR98,Roof,Replaceable,,,3775
CAR98,Front_Bumper,Replaceable,,,3148
CAR99,Trunk,Repairable,Dent,Extreme,2744
CAR99,Hood,Replaceable,,,3609
CAR99,Roof,Replaceable,,,4341
CAR99,Trunk,Repairable,Scratch,,1182
CAR99,Hood,Replaceable,,,4078
CAR99,Front_Bumper,Replaceable,,,4129
CAR99,Hood,Repairable,Dent,Extreme,2939
CAR99,Roof,Repairable,Scratch,,976
CAR99,Trunk,Repairable,Scratch,,964
CAR99,Trunk,Replaceable,,,4990
CAR99,Roof,Repairable,Dent,Shallow,1765
CAR99,Rear_Door,Replaceable,,,3109
CAR99,Trunk,Repairable,Scratch,,625
CAR99,Rear_Door,Replaceable,,,3238
CAR99,Front_Bumper,Repairable,Scratch,,759
CAR100,Rear_Door,Replaceable,,,3993
CAR101,Trunk,Repairable,Scratch,,1210
CAR101,Front_Bumper,Replaceable,,,4256
CAR101,Hood,Repairable,Dent,Deep,4054
CAR101,Rear_Door,Replaceable,,,3007
CAR101,Front_Bumper,Repairable,Scratch,,1290
CAR101,Hood,Repairable,Scratch,,1401
CAR102,Hood,Replaceable,,,3307
CAR102,Rear_Door,Repairable,Dent,Extreme,2753
CAR103,Hood,Repairable,Dent,Extreme,2876
CAR104,Roof,Replaceable,,,3609
CAR104,Rear_Door,Repairable,Dent,Extreme,3017
CAR104,Hood,Replaceable,,,4614
CAR104,Front_Bumper,Replaceable,,,4832
CAR104,Roof,Repairable,Scratch,,875
CAR104,Roof,Replaceable,,,3321
CAR104,Trunk,Repairable,Dent,Shallow,1301
CAR104,Roof,Replaceable,,,4160
CAR104,Hood,Replaceable,,,3505
CAR104,Roof,Repairable,Dent,Shallow,1103
CAR104,Rear_Door,Repairable,Scratch,,597
CAR104,Roof,Repairable,Scratch,,1243
CAR105,Roof,Repairable,Dent,Deep,3546
CAR105,Trunk,Replaceable,,,4347
CAR106,Front_Bumper,Repairable,Dent,Deep,3832
CAR106,Hood,Replaceable,,,4810
CAR106,Trunk,Replaceable,,,4063
CAR107,Roof,Repairable,Dent,Shallow,1257
CAR107,Rear_Door,Replaceable,,,4649
CAR107,Front_Bumper,Replaceable,,,4307
CAR107,Rear_Door,Replaceable,,,4331
CAR107,Hood,Replaceable,,,3673
CAR108,Rear_Door,Replaceable,,,4965
CAR109,Roof,Repairable,Dent,Shallow,1043
CAR109,Rear_Door,Repairable,Dent,Deep,3911
CAR110,Hood,Replaceable,,,3547
CAR110,Trunk,Replaceable,,,3400
CAR110,Rear_Door,Repairable,Dent,Shallow,1448
CAR110,Rear_Door,Repairable,Dent,Shallow,1047
CAR111,Trunk,Repairable,Scratch,,1461
CAR111,Front_Bumper,Repairable,Scratch,,1074
CAR111,Front_Bumper,Replaceable,,,4938
CAR112,Hood,Replaceable,,,3418
CAR112,Hood,Repairable,Scratch,,654
CAR112,Rear_Door,Repairable,Dent,Deep,4164
CAR112,Front_Bumper,Repairable,Dent,Extreme,2642
CAR112,Rear_Door,Repairable,Scratch,,1205
CAR112,Trunk,Replaceable,,,4178
CAR112,Rear_Door,Repairable,Scratch,,759
CAR112,Trunk,Repairable,Scratch,,1277
CAR113,Trunk,Repairable,Scratch,,1269
CAR113,Roof,Replaceable,,,3097
CAR114,Rear_Door,Repairable,Scratch,,1126
CAR114,Hood,Repairable,Dent,Extreme,2954
CAR114,Front_Bumper,Replaceable,,,4138
CAR114,Front_Bumper,Repairable,Scratch,,1318
CAR114,Trunk,Replaceable,,,4095
CAR114,Hood,Replaceable,,,3555
CAR114,Front_Bumper,Repairable,Scratch,,1481
CAR115,Trunk,Replaceable,,,4524
CAR115,Trunk,Replaceable,,,4533
CAR115,Rear_Door,Repairable,Dent,Shallow,1504
CAR115,Trunk,Replaceable,,,3856
CAR115,Trunk,Repairable,Dent,Deep,3828
CAR116,Rear_Door,Replaceable,,,3416
CAR117,Roof,Replaceable,,,3862
CAR117,Trunk,Repairable,Dent,Extreme,2568
CAR118,Rear_Door,Replaceable,,,3436
CAR119,Trunk,Repairable,Dent,Extreme,2876
CAR119,Trunk,Repairable,Scratch,,1381
CAR119,Front_Bumper,Replaceable,,,3631
CAR120,Hood,Repairable,Dent,Extreme,3252
CAR121,Hood,Replaceable,,,3842
CAR121,Hood,Replaceable,,,3860
CAR121,Rear_Door,Replaceable,,,4012
CAR122,Rear_Door,Replaceable,,,3452
CAR122,Roof,Repairable,Scratch,,1265
CAR123,Roof,Replaceable,,,3589
CAR123,Rear_Door,Repairable,Scratch,,682
CAR123,Roof,Repairable,Dent,Deep,3823
CAR123,Trunk,Replaceable,,,4423
CAR124,Trunk,Replaceable,,,3797
CAR124,Roof,Replaceable,,,3344
CAR124,Hood,Replaceable,,,4778
CAR125,Trunk,Replaceable,,,3088
CAR126,Hood,Repairable,Dent,Deep,4440
CAR126,Trunk,Replaceable,,,3695
CAR126,Trunk,Repairable,Scratch,,1473
CAR127,Rear_Door,Repairable,Dent,Extreme,3053
CAR127,Trunk,Repairable,Scratch,,1083
CAR127,Roof,Repairable,Dent,Extreme,3135
CAR128,Hood,Replaceable,,,4447
CAR128,Roof,Replaceable,,,3620
CAR128,Hood,Repairable,Dent,Shallow,1669
CAR128,Roof,Repairable,Scratch,,712
CAR129,Front_Bumper,Replaceable,,,3122
CAR129,Front_Bumper,Replaceable,,,4169
CAR129,Roof,Repairable,Dent,Extreme,2917
CAR130,Roof,Replaceable,,,4225
CAR130,Rear_Door,Repairable,Scratch,,1478
CAR130,Rear_Door,Repairable,Scratch,,664
CAR130,Roof,Repairable,Scratch,,564
CAR130,Hood,Replaceable,,,3235
CAR130,Front_Bumper,Repairable,Scratch,,1489
CAR130,Rear_Door,Repairable,Dent,Extreme,2749
CAR130,Rear_Door,Repairable,Dent,Extreme,3227
CAR131,Roof,Replaceable,,,4782
CAR131,Hood,Repairable,Scratch,,851
CAR132,Roof,Repairable,Scratch,,1062
CAR132,Roof,Repairable,Dent,Extreme,3414
CAR132,Trunk,Replaceable,,,3626
CAR132,Trunk,Replaceable,,,3788
CAR133,Trunk,Repairable,Scratch,,657
CAR133,Roof,Replaceable,,,3307
CAR133,Trunk,Replaceable,,,4463
CAR133,Hood,Repairable,Dent,Shallow,1237
CAR133,Hood,Repairable,Dent,Extreme,2770
CAR133,Roof,Replaceable,,,4428
CAR133,Hood,Repairable,Dent,Deep,4356
CAR134,Hood,Replaceable,,,3097
CAR134,Trunk,Replaceable,,,3779
CAR135,Trunk,Repairable,Dent,Deep,3885
CAR135,Front_Bumper,Repairable,Dent,Shallow,1691
CAR135,Hood,Repairable,Scratch,,876
CAR136,Hood,Repairable,Dent,Extreme,3343
CAR137,Rear_Door,Replaceable,,,4935
CAR137,Front_Bumper,Replaceable,,,3382
CAR138,Front_Bumper,Replaceable,,,3808
CAR139,Rear_Door,Replaceable,,,3043
CAR139,Trunk,Repairable,Scratch,,546
CAR140,Hood,Replaceable,,,3890
CAR140,Trunk,Replaceable,,,3173
CAR141,Front_Bumper,Repairable,Dent,Extreme,3172
CAR141,Hood,Replaceable,,,3612
CAR141,Hood,Repairable,Dent,Deep,3729
CAR141,Front_Bumper,Repairable,Dent,Shallow,1827
CAR142,Trunk,Repairable,Scratch,,622
CAR142,Rear_Door,Replaceable,,,3002
CAR142,Front_Bumper,Replaceable,,,3876
CAR142,Rear_Door,Repairable,Dent,Shallow,1783
CAR143,Hood,Replaceable,,,3076
CAR143,Roof,Replaceable,,,4541
CAR143,Trunk,Repairable,Scratch,,694
CAR143,Front_Bumper,Repairable,Scratch,,726
CAR143,Hood,Repairable,Dent,Extreme,3278
CAR143,Front_Bumper,Replaceable,,,3728
CAR144,Hood,Repairable,Scratch,,1189
CAR144,Trunk,Replaceable,,,3052
CAR144,Roof,Replaceable,,,3027
CAR144,Rear_Door,Repairable,Scratch,,542
CAR145,Hood,Replaceable,,,3738
CAR145,Rear_Door,Repairable,Scratch,,1410
CAR145,Front_Bumper,Repairable,Dent,Extreme,2809
CAR146,Rear_Door,Repairable,Scratch,,503
CAR146,Front_Bumper,Repairable,Scratch,,731
CAR146,Front_Bumper,Repairable,Dent,Deep,4150
CAR146,Hood,Repairable,Scratch,,804
CAR146,Rear_Door,Repairable,Dent,Shallow,1746
CAR146,Front_Bumper,Replaceable,,,4428
CAR147,Front_Bumper,Repairable,Dent,Shallow,1914
CAR147,Roof,Repairable,Dent,Extreme,3481
CAR147,Rear_Door,Replaceable,,,3281
CAR147,Roof,Repairable,Dent,Deep,4493
CAR148,Roof,Repairable,Dent,Deep,3999
CAR148,Trunk,Replaceable,,,4135
CAR148,Hood,Repairable,Dent,Shallow,1518
CAR148,Hood,Replaceable,,,4000
CAR148,Rear_Door,Replaceable,,,3275
CAR148,Trunk,Replaceable,,,3228
CAR148,Hood,Replaceable,,,3989
CAR149,Trunk,Replaceable,,,4548
CAR150,Hood,Replaceable,,,4445
CAR151,Rear_Door,Replaceable,,,4897
CAR151,Trunk,Replaceable,,,4752
CAR151,Rear_Door,Replaceable,,,4135
CAR152,Trunk,Replaceable,,,4960
CAR152,Trunk,Replaceable,,,4546
CAR152,Front_Bumper,Repairable,Scratch,,1377
CAR152,Hood,Repairable,Dent,Shallow,1013
CAR152,Hood,Replaceable,,,4045
CAR152,Hood,Replaceable,,,3136
CAR152,Roof,Replaceable,,,3583
CAR153,Front_Bumper,Repairable,Dent,Shallow,1476
CAR153,Roof,Replaceable,,,3610
CAR153,Hood,Repairable,Scratch,,1148
CAR154,Roof,Repairable,Dent,Extreme,3039
CAR154,Hood,Repairable,Scratch,,1319
CAR154,Rear_Door,Repairable,Scratch,,1119
CAR154,Hood,Replaceable,,,3425
CAR154,Rear_Door,Repairable,Dent,Deep,3611
CAR154,Roof,Replaceable,,,4692
CAR155,Hood,Repairable,Dent,Deep,3852
CAR155,Hood,Replaceable,,,3899
CAR155,Front_Bumper,Replaceable,,,3129
CAR156,Trunk,Repairable,Scratch,,1051
CAR156,Roof,Replaceable,,,4133
CAR157,Roof,Repairable,Dent,Deep,3633
CAR157,Front_Bumper,Repairable,Dent,Shallow,1369
CAR157,Front_Bumper,Repairable,Dent,Extreme,3151
CAR158,Trunk,Repairable,Scratch,,797
CAR158,Roof,Replaceable,,,4335
CAR158,Rear_Door,Repairable,Scratch,,1237
CAR158,Trunk,Replaceable,,,4063
CAR158,Roof,Repairable,Scratch,,672
CAR158,Roof,Repairable,Dent,Deep,3755
CAR158,Rear_Door,Replaceable,,,4257
CAR158,Roof,Replaceable,,,3369
CAR158,Trunk,Replaceable,,,3080
CAR159,Trunk,Repairable,Dent,Shallow,1693
CAR160,Trunk,Replaceable,,,3376
CAR160,Rear_Door,Replaceable,,,4045
CAR161,Rear_Door,Replaceable,,,3081
CAR162,Rear_Door,Replaceable,,,3412
CAR162,Hood,Repairable,Dent,Extreme,3078
CAR162,Front_Bumper,Repairable,Scratch,,732
CAR162,Trunk,Replaceable,,,3679
CAR162,Front_Bumper,Replaceable,,,3762
CAR162,Hood,Replaceable,,,3119
CAR162,Front_Bumper,Repairable,Scratch,,1093
CAR163,Front_Bumper,Replaceable,,,3615
CAR163,Trunk,Replaceable,,,3483
CAR163,Trunk,Replaceable,,,3041
CAR163,Roof,Repairable,Scratch,,1382
CAR164,Roof,Repairable,Scratch,,883
CAR164,Roof,Repairable,Dent,Deep,3834
CAR165,Trunk,Repairable,Dent,Extreme,3078
CAR165,Roof,Replaceable,,,3777
CAR165,Trunk,Replaceable,,,4822
CAR166,Roof,Replaceable,,,4721
CAR166,Front_Bumper,Replaceable,,,3839
CAR167,Front_Bumper,Replaceable,,,4281
CAR168,Trunk,Replaceable,,,4487
CAR168,Front_Bumper,Repairable,Dent,Extreme,2920
CAR168,Roof,Replaceable,,,3584
CAR168,Front_Bumper,Replaceable,,,3610
CAR168,Roof,Replaceable,,,4364
CAR168,Front_Bumper,Replaceable,,,3541
CAR168,Hood,Repairable,Dent,Shallow,1121
CAR168,Rear_Door,Replaceable,,,3575
CAR168,Trunk,Replaceable,,,3159
CAR168,Rear_Door,Repairable,Scratch,,1157
CAR169,Roof,Repairable,Dent,Extreme,3112
CAR169,Hood,Replaceable,,,4065
CAR169,Hood,Repairable,Dent,Shallow,1485
CAR169,Trunk,Replaceable,,,4649
CAR169,Trunk,Replaceable,,,4259
CAR169,Rear_Door,Repairable,Dent,Shallow,1179
CAR170,Trunk,Replaceable,,,4165
CAR171,Roof,Replaceable,,,3262
CAR172,Front_Bumper,Repairable,Dent,Extreme,2858
CAR173,Roof,Repairable,Scratch,,1180
CAR173,Hood,Replaceable,,,4353
CAR174,Hood,Replaceable,,,3697
CAR174,Trunk,Repairable,Dent,Deep,4446
CAR174,Roof,Repairable,Dent,Extreme,3440
CAR174,Rear_Door,Repairable,Scratch,,1180
CAR174,Hood,Repairable,Dent,Extreme,2915
CAR174,Roof,Repairable,Dent,Deep,4027
CAR174,Rear_Door,Repairable,Scratch,,558
CAR174,Trunk,Repairable,Scratch,,588
CAR174,Hood,Repairable,Scratch,,806
CAR175,Rear_Door,Repairable,Dent,Shallow,1507
CAR175,Trunk,Replaceable,,,3924
CAR176,Rear_Door,Repairable,Scratch,,1456
CAR176,Roof,Replaceable,,,4529
CAR176,Hood,Repairable,Dent,Extreme,2844
